"x","y","Volume"
0.355563246179372,0.00778525392524898,1000
0.662981776287779,0.464208513963968,1000
0.413124304730445,0.0755237773992121,1000
0.728979313047603,0.30723820021376,1100
0.686010353500023,0.31725104781799,1100
0.855184168554842,0.773280491819605,1100
0.665278370026499,0.529761080862954,1000
0.37342963507399,0.790995121467859,1000
0.176619540899992,0.150839854497463,1100
0.00839942041784525,0.189582126447931,1100
0.257831545546651,0.756766468752176,1100
0.882471522781998,0.428176308982074,1000
0.833547418005764,0.739212247775868,1100
0.885767747182399,0.921438623452559,1000
0.252042221138254,0.811552424682304,1000
0.8922547288239,0.16026853909716,1100
0.185194721678272,0.563896688632667,1100
0.525357306003571,0.0329000204801559,1000
0.357546743238345,0.0232977741397917,1000
0.227704158751294,0.939115143148229,1000
0.63457294087857,0.998426156817004,1100
0.402066866634414,0.176276269834489,1000
0.309042942943051,0.12219929904677,1000
0.890794108156115,0.543166974326596,1100
0.912158007035032,0.0324673634022474,1100
0.496519981650636,0.866005837218836,1000
0.245766603387892,0.601805895101279,1100
0.358525825664401,0.756540874484926,1000
0.533413683297113,0.103284103330225,1000
0.331116896588355,0.826568113174289,1000
0.867391566978768,0.954275081632659,1000
0.135909358272329,0.168138857465237,1100
0.467477558879182,0.120620553614572,1000
0.980793617898598,0.869348256615922,1000
0.551422987598926,0.24880758067593,1100
0.0478100741747767,0.471246902132407,1000
0.0789545211009681,0.322175131645054,1000
0.658840860938653,0.0192703804932535,1000
0.0528414859436452,0.321163381449878,1000
0.69653988070786,0.292844658717513,1100
0.419713540235534,0.93599941721186,1000
0.973440001485869,0.895140493987128,1000
0.255448022857308,0.13211492751725,1000
0.115629851818085,0.573523631552234,1000
0.732985764509067,0.243746552150697,1100
0.466537966392934,0.968664478044957,1100
0.148196401773021,0.207829710096121,1000
0.209403343498707,0.170768714277074,1000
0.0178002628963441,0.351392575539649,1000
0.75526539911516,0.517429414438084,1000
0.952604057500139,0.640957382973284,1100
0.406049061333761,0.838848500745371,1000
0.392587339272723,0.863130618585274,1000
0.790671173948795,0.677112717181444,1100
0.850266124121845,0.110225472599268,1100
0.422819122904912,0.0120069233234972,1000
0.910441379295662,0.496263808803633,1000
0.659840921405703,0.79762523365207,1100
0.95377531950362,0.0166875855065882,1100
0.329486546106637,0.11825437261723,1000
0.518054940039292,0.336718213977292,1100
0.591693659778684,0.0875190957449377,1000
0.350952324224636,0.34540524915792,1000
0.196897485526279,0.185026353457943,1000
0.796507730614394,0.154318060260266,1100
0.708379870513454,0.562646694248542,1000
0.163255251245573,0.836221212986857,1100
0.986267747357488,0.719962677918375,1100
0.0834930629935116,0.444390170741826,1000
0.909551400691271,0.438733262009919,1000
0.254611732671037,0.665555125800893,1100
0.19889354147017,0.125220289453864,1100
0.268024730030447,0.404291162965819,1000
0.495085158385336,0.155188187723979,1000
0.862814731197432,0.0331875868141651,1100
0.967992963502184,0.298324320465326,1000
